04-12 20:19:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 18.32, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 17.72, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 18.02, amount = 10
04-12 20:19:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 17.72, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 17.12, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 17.42, amount = 10
04-12 20:19:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 17.12, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 17.42, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 17.72, amount = 10
04-12 20:19:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.22, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.62, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.92, amount = 10
04-12 20:19:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.32, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.02, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 18.32, amount = 10
04-12 20:19:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.22, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.52, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.82, amount = 10
04-12 20:19:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.22, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.52, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.82, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.92, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.62, amount = 10
04-12 20:19:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.32, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 18.92, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.22, amount = 10
04-12 20:19:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.52, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.92, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.62, amount = 10
04-12 20:19:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.22, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.92, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.22, amount = 10
04-12 20:19:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.52, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 20.12, amount = 10
04-12 20:19:10 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.82, amount = 10
04-12 20:19:10 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.52, amount = 10
04-12 20:19:10 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.22, amount = 10
04-12 20:22:36 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.7, amount = 10
04-12 20:22:36 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 20.0, amount = 10
04-12 20:22:36 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.4, amount = 10
04-12 20:22:36 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 20.3, amount = 10
04-12 20:22:36 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.7, amount = 10
04-12 20:22:36 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 20.0, amount = 10
04-12 20:22:36 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 20.6, amount = 10
04-12 20:22:36 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 20.0, amount = 10
04-12 20:22:36 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 20.9, amount = 10
04-12 20:22:36 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 20.3, amount = 10
04-12 20:22:36 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 20.6, amount = 10
04-12 20:22:36 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 20.3, amount = 10
04-12 20:22:36 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.7, amount = 10
04-12 20:22:36 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 20.0, amount = 10
04-12 20:22:36 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.1, amount = 10
04-12 20:22:36 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.7, amount = 10
04-12 20:22:36 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.4, amount = 10
04-12 20:22:36 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.7, amount = 10
04-12 20:22:36 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.4, amount = 10
04-12 20:22:36 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.8, amount = 10
04-12 20:22:36 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.4, amount = 10
04-12 20:22:36 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.7, amount = 10
04-12 20:22:36 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.1, amount = 10
04-12 20:22:36 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.5, amount = 10
04-12 20:22:36 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.1, amount = 10
04-12 20:22:36 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.4, amount = 10
04-12 20:22:36 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.8, amount = 10
04-12 20:22:36 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.4, amount = 10
04-12 20:22:36 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.1, amount = 10
04-12 20:22:36 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.7, amount = 10
04-12 20:22:36 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.4, amount = 10
04-12 20:22:36 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.1, amount = 10
04-12 20:22:36 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.4, amount = 10
04-12 20:22:36 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.1, amount = 10
04-12 20:22:36 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.1, amount = 10
04-12 20:22:36 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 18.8, amount = 10
04-12 20:22:36 [pool-1-thread-3] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.4, amount = 10
04-12 20:22:36 [pool-1-thread-1] INFO  com.tone.gf.work.BuySellWork - buy code = 002590, price = 19.1, amount = 10
04-12 20:22:36 [pool-1-thread-2] INFO  com.tone.gf.work.BuySellWork - sell code = 002590, price = 19.4, amount = 10
